Frequency	Power
0.000000	3.308959
0.200196	43.445546
0.400391	22.694459
0.600587	17.097018
0.800782	52.206019
1.000978	15.064143
1.201173	52.067249
1.401369	27.409884
1.601564	19.783113
1.801760	8.545683
2.001955	16.335198
2.202151	53.965733
2.402346	36.520177
2.602542	39.824314
2.802737	6.172335
3.002933	17.717257
3.203128	44.841483
3.403324	24.421834
3.603519	41.549448
3.803715	12.384973
4.003910	15.511343
4.204106	28.878523
4.404301	5.643187
4.604497	62.823247
4.804692	71.032103
5.004888	69.269072
5.205083	10.589566
5.405279	34.063368
5.605474	33.988677
5.805670	28.432388
6.005865	52.222871
6.206061	28.436102
6.406256	32.274453
6.606452	7.603673
6.806647	48.528244
7.006843	550.633201
7.207038	43.373509
7.407234	33.051887
7.607429	54.309996
7.807625	54.316619
8.007820	30.792982
8.208016	26.514953
8.408211	38.841218
8.608407	11.719220
8.808602	45.951015
9.008798	19.887382
9.208993	55.321265
9.409189	45.379919
9.609384	49.694869
9.809580	90.031645
10.009775	22.961218
10.209971	13.507937
10.410166	51.832714
10.610362	47.995715
10.810557	21.965515
11.010753	39.220122
11.210948	33.701294
11.411144	22.488111
11.611339	6.756966
11.811535	31.366472
12.011730	73.305470
12.211926	43.727379
12.412121	40.930952
12.612317	34.932623
12.812512	23.513693
13.012708	20.017670
13.212903	21.446144
13.413099	40.125835
13.613294	63.516573
13.813490	22.065134
14.013685	103.181654
14.213881	44.973120
14.414076	5.326113
14.614272	43.688947
14.814467	136.006354
15.014663	1497.296214
15.214858	118.817484
15.415054	110.774396
15.615249	49.907963
15.815445	55.473585
16.015640	86.501046
16.215836	39.307371
16.416031	45.560646
16.616227	46.894373
16.816422	18.151744
17.016618	31.669176
17.216813	25.117929
17.417009	6.889347
17.617204	23.988757
17.817400	37.392877
18.017595	27.322209
18.217791	31.139326
18.417986	20.616373
18.618182	26.592717
18.818377	6.959796
19.018573	69.155850
19.218768	29.507452
19.418964	19.248976
19.619159	24.713893
19.819355	15.473635
20.019550	36.938817
20.219746	31.505198
20.419941	21.721805
20.620137	12.407087
20.820332	55.398508
21.020528	31.668691
21.220723	36.266516
21.420919	20.255149
21.621114	34.160152
21.821310	29.928394
22.021505	18.682912
22.221701	58.665702
22.421896	9.441469
22.622092	71.217721
22.822287	20.738154
23.022483	33.469979
23.222678	40.107217
23.422874	10.566730
23.623069	25.350437
23.823265	31.842146
24.023460	28.487034
24.223656	58.650170
24.423851	17.447780
24.624047	44.273388
24.824242	32.643164
25.024438	40.094246
25.224633	15.518143
25.424829	16.159155
25.625024	99.233137
25.825220	19.970979
26.025415	31.603640
26.225611	43.276374
26.425806	17.530169
26.626002	38.598458
26.826197	27.347482
27.026393	26.239151
27.226588	26.059738
27.426784	30.051217
27.626979	16.054029
27.827175	25.312900
28.027370	27.296071
28.227566	25.236978
28.427761	22.661518
28.627957	41.794374
28.828152	31.272135
29.028348	58.436912
29.228543	40.110443
29.428739	54.391683
29.628935	38.343048
29.829130	47.042992
30.029326	501.872662
30.229521	96.398944
30.429717	43.429894
30.629912	25.002545
30.830108	77.647267
31.030303	12.986971
31.230499	62.102548
31.430694	12.594226
31.630890	15.909215
31.831085	14.001494
32.031281	39.905520
32.231476	20.458265
32.431672	61.247472
32.631867	80.988277
32.832063	16.471514
33.032258	51.551226
33.232454	57.588821
33.432649	58.497252
